# CAPACIDADE DO CAMIÃO (kg)
100 
# PESO (kg) |  VALOR ECONOMICO
1 32.4
49 34
11 57
75 47
85 69
34 19
91 58
60 94
18 34
32 100
37 57
68 49
62 53
29 83
5 78
30 13
6 47
89 34
41,86
31,46
7,59
43,4
15,84
64,53
31,96
83,39
89,45
6,90
30,29
24,5
67,23
27,8
10,33
43,77
27,33
82,98
83,22
99,31
26,2
39,70
37,56
93,51
14,32
79,79
85,60
7,8
76,55
29,10
33,43
87,84
96,87
74,4
82,88
18,23
73,31
49,12
51,98
57,11
100,32
82,30
2,10
71,66
11,96
41,32
29,40
44,77
64,50
42,68
29,16
15,89
72,39
32,93
46,7
20,13
100,47
50,36
20,42
20,41
78,42
9,7
21,47
35,76
78,3
95,72
21,50
60,92
95,4
18,99
35,82
9,82
26,54
78,5
33,94
31,64
57,95
69,39
8,85
46,39
97,23
79,11
21,67
71,48
95,86
46,77
70,98
39,28
57,32
97,4
81,68
25,31
92,26
25,43
47,28
81,35
71,48
25,62
11,35
8,57
62,86
1,72
96,16
81,61
35,29
69,41
96,85
89,45
20,70
100,84
57,55
77,45
18,84
95,40
86,78
46,36
39,52
35,95
73,79
65,39
90,94
38,13
18,60
36,60
54,43
15,83
73,52
92,83
19,37
66,24
2,50
17,25
64,23
87,11
51,57
53,74
35,4
14,63
86,6
72,46
26,11
18,73
51,51
95,74
61,55
25,88
47,17
2,68
34,92
18,58
19,85
55,16
70,13
34,84
64,22
29,1
76,90
69,27
64,11
58,11
88,53
37,79
60,68
89,64
88,11
16,5
77,38
33,60
6,24
51,13
27,93
93,59
8,46
80,18
64,37
44,27
6,37
24,13
17,57
95,28
40,90
72,37
